City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Qaqortoq,GL,2020-02-23 20:23:18,60.72,-46.03,24.8,53,100,9.17,light snow,0.0,0.94
1,Cape Town,ZA,2020-02-23 20:20:11,-33.93,18.42,68.0,56,0,20.8,clear sky,0.0,0.0
2,Tasiilaq,GL,2020-02-23 20:20:12,65.61,-37.64,12.2,66,60,17.22,broken clouds,0.0,0.0
3,Yellowknife,CA,2020-02-23 20:20:12,62.46,-114.35,-4.0,63,20,6.93,few clouds,0.0,0.0
4,Samana,DO,2020-02-23 20:20:12,19.21,-69.34,75.2,94,75,4.7,light rain,0.0,0.0
5,Port Alfred,ZA,2020-02-23 20:20:12,-33.59,26.89,61.0,81,50,2.01,scattered clouds,0.0,0.0
6,Mataura,NZ,2020-02-23 20:20:13,-46.19,168.86,55.0,89,77,5.01,broken clouds,0.0,0.0
7,Ushtobe,KZ,2020-02-23 20:20:13,45.25,77.98,30.9,87,93,1.92,overcast clouds,0.0,0.0
8,Vaini,TO,2020-02-23 20:20:13,-21.2,-175.2,80.6,88,40,9.17,scattered clouds,0.0,0.0
9,Punta Arenas,CL,2020-02-23 20:20:13,-53.15,-70.92,55.4,62,75,32.21,broken clouds,0.0,0.0
10,Rawson,AR,2020-02-23 20:20:13,-43.3,-65.1,61.45,82,0,15.26,clear sky,0.0,0.0
11,Mar Del Plata,AR,2020-02-23 20:20:14,-38.0,-57.56,86.0,50,40,12.75,scattered clouds,0.0,0.0
12,Cherskiy,RU,2020-02-23 20:20:14,68.75,161.3,-27.56,89,48,6.17,scattered clouds,0.0,0.0
13,Warrnambool,AU,2020-02-23 20:20:14,-38.38,142.48,57.99,96,100,6.4,overcast clouds,0.0,0.0
14,Ilulissat,GL,2020-02-23 20:18:32,69.22,-51.1,-4.0,53,0,8.05,clear sky,0.0,0.0
15,Jamestown,US,2020-02-23 20:16:36,42.1,-79.24,51.8,24,1,19.46,clear sky,0.0,0.0
16,Bluff,NZ,2020-02-23 20:18:24,-46.6,168.33,54.0,90,66,4.0,broken clouds,0.0,0.0
17,Muroto,JP,2020-02-23 20:20:15,33.28,134.15,39.16,58,0,4.94,clear sky,0.0,0.0
18,Tanabe,JP,2020-02-23 20:20:15,33.73,135.37,35.01,88,0,6.89,clear sky,0.0,0.0
19,Ponta Do Sol,PT,2020-02-23 20:20:15,32.67,-17.1,68.0,49,20,19.46,few clouds,0.0,0.0
20,Provideniya,RU,2020-02-23 20:20:16,64.38,-173.3,-6.63,70,0,2.08,clear sky,0.0,0.0
21,Qaanaaq,GL,2020-02-23 20:20:16,77.48,-69.36,-19.41,68,0,7.14,clear sky,0.0,0.0
22,Hobart,AU,2020-02-23 20:20:01,-42.88,147.33,57.2,76,75,4.7,broken clouds,0.0,0.0
23,Debelec,BG,2020-02-23 20:20:16,43.03,25.62,45.0,93,91,3.36,overcast clouds,0.0,0.0
24,Narsaq,GL,2020-02-23 20:20:16,60.92,-46.05,24.8,53,100,9.17,light snow,0.0,1.44
25,Kapaa,US,2020-02-23 20:16:10,22.08,-159.32,75.2,73,1,6.93,clear sky,0.0,0.0
26,Arraial Do Cabo,BR,2020-02-23 20:17:02,-22.97,-42.03,78.8,65,75,9.17,broken clouds,0.0,0.0
27,Ushuaia,AR,2020-02-23 20:18:23,-54.8,-68.3,48.2,81,90,23.04,light rain,0.0,0.0
28,Hermanus,ZA,2020-02-23 20:18:25,-34.42,19.23,68.0,78,0,5.01,clear sky,0.0,0.0
29,Brasilia,BR,2020-02-23 20:17:50,-15.78,-47.93,80.6,61,40,2.24,scattered clouds,0.0,0.0
30,Lasa,IT,2020-02-23 20:20:18,46.62,10.7,50.0,91,20,5.82,few clouds,0.0,0.0
31,Zhanaozen,KZ,2020-02-23 20:20:18,43.3,52.8,43.48,94,100,7.29,overcast clouds,0.0,0.0
32,Kucevo,RS,2020-02-23 20:20:18,44.48,21.67,44.83,54,8,4.72,clear sky,0.0,0.0
33,Tuktoyaktuk,CA,2020-02-23 20:20:18,69.45,-133.04,-5.8,76,90,18.34,light snow,0.0,0.0
34,Shakhtinsk,KZ,2020-02-23 20:20:19,49.71,72.59,17.6,85,75,6.71,broken clouds,0.0,0.0
35,Matara,LK,2020-02-23 20:17:18,5.95,80.54,74.17,85,100,7.92,overcast clouds,0.0,0.0
36,Nanortalik,GL,2020-02-23 20:20:19,60.14,-45.24,27.72,79,100,1.72,light snow,0.0,0.94
37,Busselton,AU,2020-02-23 20:20:20,-33.65,115.33,68.0,46,72,14.25,broken clouds,0.0,0.0
38,Brae,GB,2020-02-23 20:20:20,60.4,-1.35,35.6,81,96,19.46,light rain,0.0,0.0
39,Sungurlu,TR,2020-02-23 20:20:20,40.17,34.37,31.37,89,0,5.21,clear sky,0.0,0.0
40,Hilo,US,2020-02-23 20:19:31,19.73,-155.09,78.8,57,75,10.29,broken clouds,0.0,0.0
41,Gizo,SB,2020-02-23 20:20:21,-8.1,156.84,78.8,86,16,4.09,few clouds,0.0,0.0
42,Pachino,IT,2020-02-23 20:20:21,36.72,15.09,50.0,87,67,5.82,broken clouds,0.0,0.0
43,San Andres,CO,2020-02-23 20:20:21,12.58,-81.7,86.0,62,40,9.17,scattered clouds,0.0,0.0
44,Sinnamary,GF,2020-02-23 20:20:21,5.38,-52.95,78.96,81,87,15.17,light rain,0.13,0.0
45,Surt,LY,2020-02-23 20:23:31,31.21,16.59,53.74,70,2,8.03,clear sky,0.0,0.0
46,Ribeira Grande,PT,2020-02-23 20:23:31,38.52,-28.7,60.8,77,75,5.82,broken clouds,0.0,0.0
47,Svirstroy,RU,2020-02-23 20:23:31,60.8,33.72,33.73,98,100,8.34,light snow,0.0,0.38
48,San Patricio,MX,2020-02-23 20:23:31,19.22,-104.7,84.2,74,5,13.87,clear sky,0.0,0.0
49,Chokwe,MZ,2020-02-23 20:23:32,-24.53,32.98,71.01,78,87,10.96,overcast clouds,0.0,0.0
50,Sampit,ID,2020-02-23 20:23:32,-2.53,112.95,75.33,95,13,1.97,light rain,0.5,0.0
51,Edd,ER,2020-02-23 20:23:32,13.93,41.69,81.84,47,49,6.8,scattered clouds,0.0,0.0
52,Esperance,AU,2020-02-23 20:23:32,-33.87,121.9,64.4,88,90,11.41,overcast clouds,0.0,0.0
53,Malacacheta,BR,2020-02-23 20:23:33,-17.84,-42.08,72.12,95,100,6.35,moderate rain,5.81,0.0
54,Andenes,NO,2020-02-23 20:23:33,69.31,16.12,35.6,93,75,35.57,light rain,0.0,0.0
55,Saskylakh,RU,2020-02-23 20:18:34,71.92,114.08,5.74,91,100,8.63,overcast clouds,0.0,0.0
56,Severo-Kurilsk,RU,2020-02-23 20:23:33,50.68,156.12,24.21,95,100,35.48,snow,0.0,2.75
57,Fortuna,US,2020-02-23 20:23:33,40.6,-124.16,59.0,76,75,5.01,broken clouds,0.0,0.0
58,Paita,PE,2020-02-23 20:23:34,-5.09,-81.11,62.6,100,75,10.29,broken clouds,0.0,0.0
59,Goundi,TD,2020-02-23 20:23:34,9.36,17.37,84.2,11,0,7.74,clear sky,0.0,0.0
60,Yertsevo,RU,2020-02-23 20:23:34,60.8,40.09,30.67,96,99,10.47,light snow,0.0,0.81
61,Obo,CF,2020-02-23 20:23:34,5.4,26.49,76.95,17,4,5.97,clear sky,0.0,0.0
62,Loa Janan,ID,2020-02-23 20:23:34,-0.58,117.09,72.82,92,45,2.77,scattered clouds,0.0,0.0
63,Bredasdorp,ZA,2020-02-23 20:23:35,-34.53,20.04,66.2,55,0,11.41,clear sky,0.0,0.0
64,Marystown,CA,2020-02-23 20:23:35,47.17,-55.15,31.06,85,0,14.23,clear sky,0.0,0.0
65,Sept-Iles,CA,2020-02-23 20:20:47,50.2,-66.38,34.0,86,75,6.93,broken clouds,0.0,0.0
66,Kolokani,ML,2020-02-23 20:23:35,13.57,-8.03,85.44,10,37,8.37,scattered clouds,0.0,0.0
67,Georgetown,MY,2020-02-23 20:21:12,5.41,100.34,80.6,74,20,3.36,few clouds,0.0,0.0
68,Lugovoy,KZ,2020-02-23 20:23:36,42.95,72.76,32.41,93,100,2.33,overcast clouds,0.0,0.0
69,New Norfolk,AU,2020-02-23 20:23:36,-42.78,147.06,57.0,82,75,3.36,broken clouds,0.0,0.0
70,Butaritari,KI,2020-02-23 20:23:36,3.07,172.79,84.88,77,76,12.91,moderate rain,6.0,0.0
71,Avarua,CK,2020-02-23 20:23:37,-21.21,-159.78,80.6,88,100,2.24,light rain,0.0,0.0
72,Saint-Philippe,RE,2020-02-23 20:23:37,-21.36,55.77,75.2,78,0,6.93,clear sky,0.0,0.0
73,Vardo,NO,2020-02-23 20:23:37,70.37,31.11,26.6,86,75,5.82,shower rain,0.0,0.0
74,Rikitea,PF,2020-02-23 20:23:37,-23.12,-134.97,79.2,70,0,6.13,clear sky,0.0,0.0
75,Waingapu,ID,2020-02-23 20:18:46,-9.66,120.26,83.1,78,49,17.94,scattered clouds,0.0,0.0
76,Miquelon,PM,2020-02-23 20:23:38,47.1,-56.38,33.8,80,0,14.99,clear sky,0.0,0.0
77,Lebu,CL,2020-02-23 20:23:38,-37.62,-73.65,63.63,63,0,9.86,clear sky,0.0,0.0
78,Nikolskoye,RU,2020-02-23 20:23:38,59.7,30.79,37.4,86,90,11.18,light intensity shower rain,0.0,0.0
79,San Ignacio,BZ,2020-02-23 20:23:39,17.16,-89.07,84.2,48,20,9.17,few clouds,0.0,0.0
80,Horta,PT,2020-02-23 20:23:39,38.53,-28.63,60.8,77,75,5.82,broken clouds,0.0,0.0
81,Totma,RU,2020-02-23 20:23:39,59.97,42.76,31.48,93,100,9.33,light snow,0.0,0.56
82,Dikson,RU,2020-02-23 20:23:39,73.51,80.55,28.47,92,100,27.6,light snow,0.0,0.25
83,Muros,ES,2020-02-23 20:23:40,42.78,-9.06,60.01,93,0,3.36,clear sky,0.0,0.0
84,Namatanai,PG,2020-02-23 20:23:40,-3.67,152.43,83.97,75,39,10.16,scattered clouds,0.0,0.0
85,Iqaluit,CA,2020-02-23 20:23:40,63.75,-68.51,-23.01,67,20,13.87,few clouds,0.0,0.0
